Locus;# individuals;# haplotypes;bp;# polymorphic sites;polymorphic sites (% );# transitions;# transversions;# ambiguous bases in alignment;ambiguos bases (%);Nucleotide diversity;? (Watterson);?? (pairwise);Tajima's D
L285;20;20;691;43;6.22;32;11;54;0.39;0.0115;12.1204;7.9368;-1.3799
L163;23;23;1759;44;2.5;36;9;76;0.19;0.0048;11.9215;8.3874;-1.1528
L308;23;23;1679;44;2.62;32;12;47;0.12;0.0051;11.9215;8.5929;-1.0857
L348;23;23;1665;44;2.64;28;17;32;0.08;0.004;11.9215;6.7312;-1.693
L413;23;23;2211;44;1.99;27;17;17;0.03;0.0026;11.9215;5.668;-2.0398
L69;23;23;1508;44;2.92;41;4;95;0.27;0.0053;11.9215;7.996;-1.2804
L10;23;23;1705;43;2.52;38;6;38;0.1;0.0044;11.6505;7.4743;-1.3923
L108;23;23;1622;43;2.65;33;10;49;0.13;0.0027;11.6505;4.4506;-2.4004
L218;23;23;1611;43;2.67;40;3;81;0.22;0.0048;11.6505;7.7945;-1.2856
L312;23;23;1276;43;3.37;33;11;127;0.43;0.0063;11.6505;8.0158;-1.2118
L401;23;23;1585;43;2.71;33;10;22;0.06;0.0075;11.6505;11.9605;0.1033
L57;23;23;1764;43;2.44;36;8;115;0.28;0.0053;11.6505;9.3439;-0.769
L92;23;23;1589;43;2.71;37;6;45;0.12;0.0041;11.6505;6.5415;-1.7033
L346;20;20;767;41;5.35;33;9;25;0.16;0.0135;11.5567;10.3632;-0.4119
L131;23;23;863;42;4.87;26;16;50;0.25;0.0096;11.3796;8.2964;-1.0511
L242;23;23;1797;42;2.34;34;9;119;0.29;0.0037;11.3796;6.6917;-1.5982
L269;23;23;599;42;7.01;31;12;14;0.1;0.013;11.3796;7.7747;-1.229
L280;23;23;1517;42;2.77;34;8;53;0.15;0.0052;11.3796;7.8379;-1.2074
L289;23;23;1709;42;2.46;29;12;97;0.25;0.0049;11.3796;8.4229;-1.008
L297;23;23;1819;42;2.31;27;16;20;0.05;0.0041;11.3796;7.4625;-1.3355
L307;23;23;1357;42;3.1;33;10;30;0.1;0.0049;11.3796;6.5968;-1.6306
L384;23;23;1672;42;2.51;29;14;42;0.11;0.0041;11.3796;6.7826;-1.5672
L77;23;23;1731;42;2.43;35;7;49;0.12;0.0052;11.3796;8.9802;-0.818
L90;23;23;1031;42;4.07;23;19;106;0.45;0.006;11.3796;6.1581;-1.7802
L226;21;21;929;40;4.31;30;11;19;0.1;0.0074;11.1181;6.8429;-1.5161
L181;23;23;1745;41;2.35;32;9;26;0.06;0.0039;11.1087;6.7312;-1.5269
L222;23;23;1940;41;2.11;29;12;163;0.37;0.0023;11.1087;4.5415;-2.2907
L234;23;23;1545;41;2.65;27;15;32;0.09;0.0036;11.1087;5.5375;-1.9433
L327;23;23;1715;41;2.39;28;15;38;0.1;0.0044;11.1087;7.5771;-1.2319
L343;23;23;1605;41;2.55;34;7;66;0.18;0.0041;11.1087;6.5731;-1.5821
L350;23;23;1744;41;2.35;26;15;75;0.19;0.0043;11.1087;7.5613;-1.2374
L104;23;23;1734;40;2.31;27;13;32;0.08;0.0046;10.8377;7.9684;-1.0246
L2;23;23;1728;40;2.31;35;5;34;0.09;0.0046;10.8377;7.9881;-1.0175
L219;23;23;1667;40;2.4;26;14;65;0.17;0.0039;10.8377;6.5652;-1.5256
L56;23;23;1572;40;2.54;25;14;61;0.17;0.0041;10.8377;6.4783;-1.5566
L111;22;22;1879;39;2.08;28;12;23;0.06;0.0032;10.6985;5.9221;-1.741
L109;23;23;1793;39;2.18;31;8;21;0.05;0.0038;10.5668;6.7905;-1.3811
L126;23;23;1655;39;2.36;21;18;31;0.08;0.0045;10.5668;7.4664;-1.1339
L158;23;23;1742;39;2.24;30;8;67;0.17;0.0061;10.5668;10.6601;0.0341
L231;23;23;1380;39;2.83;34;5;70;0.22;0.0052;10.5668;7.1581;-1.2467
L383;23;23;1430;39;2.73;26;14;32;0.1;0.0042;10.5668;5.9644;-1.6832
L50;23;23;1598;39;2.44;34;6;23;0.06;0.0052;10.5668;8.336;-0.8159
L74;23;23;1790;39;2.18;34;5;32;0.08;0.0033;10.5668;5.9289;-1.6962
L85;23;23;1696;39;2.3;29;11;66;0.17;0.0048;10.5668;8.1542;-0.8824
L41;21;21;1347;38;2.82;28;10;84;0.3;0.0044;10.5622;5.8714;-1.7463
L330;18;18;1152;36;3.13;27;8;99;0.48;0.0061;10.4665;7.0458;-1.3263
L221;23;23;1873;38;2.03;28;10;23;0.05;0.004;10.2958;7.5771;-1.0191
L355;23;23;1378;38;2.76;29;9;35;0.11;0.0044;10.2958;6.087;-1.5776
L371;23;23;1225;38;3.1;22;16;88;0.31;0.0064;10.2958;7.8814;-0.905
L6;21;21;1028;37;3.6;30;7;24;0.11;0.0075;10.2842;7.7095;-0.983
L121;23;23;1703;37;2.17;27;10;37;0.09;0.0048;10.0249;8.2055;-0.6993
L328;23;23;1680;37;2.2;25;12;38;0.1;0.0036;10.0249;6.0277;-1.5364
L332;23;23;1977;37;1.87;29;8;61;0.13;0.0036;10.0249;7.0395;-1.1475
L35;23;23;1749;37;2.12;32;5;162;0.4;0.0054;10.0249;9.3953;-0.242
L366;23;23;1303;37;2.84;27;10;96;0.32;0.0048;10.0249;6.1976;-1.4711
L192;22;22;1841;36;1.96;32;4;62;0.15;0.0035;9.8756;6.368;-1.379
L259;22;22;2267;36;1.59;23;13;41;0.08;0.002;9.8756;4.5195;-2.1057
L301;22;22;1228;36;2.93;26;10;88;0.33;0.0049;9.8756;6.0563;-1.5015
L370;23;23;1834;36;1.96;22;14;35;0.08;0.0028;9.7539;5.1462;-1.8174
L380;23;23;1715;36;2.1;29;7;71;0.18;0.0028;9.7539;4.8814;-1.9219
L82;18;18;1484;33;2.22;28;7;41;0.15;0.0055;9.5943;8.1765;-0.5969
L138;23;23;1761;35;1.99;25;10;43;0.11;0.006;9.483;10.5889;0.4479
L174;23;23;1663;35;2.1;23;12;71;0.19;0.0042;9.483;7.0119;-1.0009
L196;23;23;1705;35;2.05;24;11;24;0.06;0.0032;9.483;5.4071;-1.6509
L286;23;23;1368;35;2.56;20;15;18;0.06;0.0056;9.483;7.7194;-0.7143
L303;23;23;1434;35;2.44;22;14;135;0.41;0.0061;9.483;8.7668;-0.2901
L306;23;23;1713;35;2.04;28;7;55;0.14;0.0033;9.483;5.7273;-1.5212
L47;23;23;1666;35;2.1;30;5;33;0.09;0.0047;9.483;7.7945;-0.6839
L83;23;23;971;35;3.6;24;11;26;0.12;0.0076;9.483;7.332;-0.8712
L43;22;22;1644;34;2.07;25;9;26;0.07;0.0027;9.3269;4.4892;-2.0071
L106;23;23;1990;34;1.71;23;11;28;0.06;0.0023;9.2121;4.5929;-1.9226
L399;23;23;1110;34;3.06;26;8;51;0.2;0.0064;9.2121;7.0553;-0.8977
L279;21;21;1009;33;3.27;28;5;58;0.27;0.0071;9.1724;7.1714;-0.851
L78;21;21;1598;33;2.07;22;11;25;0.07;0.0045;9.1724;7.1524;-0.8591
L246;22;22;1338;33;2.47;5;28;61;0.21;0.0044;9.0526;5.9004;-1.345
L323;22;22;553;33;5.97;21;11;19;0.16;0.0057;9.0526;3.1558;-2.516
L134;23;23;1784;33;1.85;23;11;30;0.07;0.0022;8.9411;3.8617;-2.1742
L143;23;23;1893;33;1.74;27;6;57;0.13;0.0032;8.9411;6.0909;-1.22
L155;23;23;1285;33;2.57;24;9;53;0.18;0.003;8.9411;3.9012;-2.1573
L223;23;23;1432;33;2.3;26;7;50;0.15;0.0032;8.9411;4.5652;-1.8731
L229;23;23;1861;33;1.77;23;10;14;0.03;0.0024;8.9411;4.3755;-1.9543
L240;23;23;1722;33;1.92;21;12;28;0.07;0.0033;8.9411;5.6522;-1.4078
L281;23;23;1729;33;1.91;30;3;42;0.11;0.0027;8.9411;4.7352;-1.8003
L331;23;23;1610;33;2.05;31;2;68;0.18;0.0036;8.9411;5.7312;-1.374
L278;21;21;832;32;3.85;29;3;38;0.22;0.0072;8.8945;6;-1.2671
L188;22;22;1853;32;1.73;18;15;9;0.02;0.0022;8.7783;4.1255;-2.0433
L22;22;22;1626;32;1.97;29;3;38;0.11;0.0022;8.7783;3.5238;-2.3076
L349;22;22;1604;32;2;24;8;58;0.16;0.0046;8.7783;7.355;-0.6251
L103;23;23;1394;32;2.3;22;11;19;0.06;0.0045;8.6702;6.2095;-1.0841
L130;23;23;1335;32;2.4;26;7;24;0.08;0.0058;8.6702;7.7787;-0.3928
L217;23;23;1698;32;1.88;28;4;40;0.1;0.003;8.6702;5.1344;-1.5577
L398;23;23;1653;32;1.94;25;8;67;0.18;0.0037;8.6702;6.0751;-1.1433
L412;23;23;1756;32;1.82;24;8;19;0.05;0.0032;8.6702;5.5613;-1.3696
L8*;20;20;835;30;3.59;24;7;39;0.23;0.0083;8.4561;6.9316;-0.7067
L125;23;23;1452;31;2.13;27;4;43;0.13;0.0053;8.3992;7.6324;-0.348
L157;23;23;1763;31;1.76;22;9;85;0.21;0.0041;8.3992;7.253;-0.5202
L338;23;23;1533;31;2.02;26;5;63;0.18;0.0052;8.3992;7.9051;-0.2242
L364;23;23;1665;31;1.86;23;8;41;0.11;0.0029;8.3992;4.7747;-1.6449
L64;23;23;1856;31;1.67;25;6;50;0.12;0.003;8.3992;5.5534;-1.2915
L187;22;22;1834;30;1.64;19;11;33;0.08;0.0029;8.2296;5.2727;-1.3793
L227;23;23;1787;30;1.68;22;8;20;0.05;0.002;8.1283;3.5059;-2.1629
L265;23;23;1413;30;2.12;23;7;22;0.07;0.0035;8.1283;4.9407;-1.4915
L302;23;23;1116;30;2.69;24;6;48;0.19;0.0039;8.1283;4.3557;-1.7653
L71;23;23;1532;30;1.96;22;8;36;0.1;0.0033;8.1283;5.083;-1.425
L76;23;23;1696;30;1.77;25;5;40;0.1;0.0036;8.1283;6.0711;-0.9626
L203;22;22;1452;29;2;21;8;84;0.26;0.0039;7.9553;5.6494;-1.1102
L137;23;23;1690;29;1.72;21;8;15;0.04;0.0035;7.8573;5.8419;-0.9733
L165;23;23;1803;29;1.61;25;4;53;0.13;0.0031;7.8573;5.5375;-1.1203
L19;23;23;1543;29;1.88;18;11;52;0.15;0.0028;7.8573;4.2846;-1.7254
L194;23;23;1414;29;2.05;22;7;50;0.15;0.0044;7.8573;6.1897;-0.8053
L202;23;23;1499;29;1.93;17;12;61;0.18;0.0046;7.8573;6.9368;-0.4446
L263;23;23;1652;29;1.76;21;8;47;0.12;0.002;7.8573;3.3715;-2.1663
L368;23;23;1711;29;1.69;21;8;8;0.02;0.0032;7.8573;5.4783;-1.1489
L404;23;23;1640;29;1.77;24;5;25;0.07;0.0033;7.8573;5.4585;-1.1585
L410;23;23;1755;29;1.65;22;7;98;0.24;0.0027;7.8573;4.7945;-1.4791
L44;23;23;1584;29;1.83;25;4;40;0.11;0.0028;7.8573;4.4506;-1.6452
L91;23;23;1451;29;2;17;12;20;0.06;0.003;7.8573;4.2846;-1.7254
L175;21;21;875;28;3.2;22;7;75;0.41;0.0066;7.7827;5.7714;-0.9974
L295;22;22;854;28;3.28;19;9;46;0.24;0.0081;7.681;6.9134;-0.3818
L53;22;22;1809;28;1.55;18;10;29;0.07;0.0028;7.681;5.0606;-1.3035
L152;23;23;1955;28;1.43;21;8;20;0.04;0.0022;7.5864;4.2332;-1.673
L159;23;23;1727;28;1.62;21;7;41;0.1;0.0023;7.5864;3.9723;-1.8031
L191;23;23;1471;28;1.9;22;6;15;0.04;0.0023;7.5864;3.3755;-2.1009
L216;23;23;2049;28;1.37;22;8;20;0.04;0.0022;7.5864;4.5968;-1.4916
L237;23;23;1761;28;1.59;27;1;46;0.11;0.0037;7.5864;6.4348;-0.5746
L369;23;23;1295;28;2.16;19;9;19;0.06;0.0026;7.5864;3.3399;-2.1187
L386;23;23;1574;28;1.78;21;7;74;0.2;0.0025;7.5864;3.9289;-1.8248
L394;23;23;1570;28;1.78;19;10;36;0.1;0.0037;7.5864;5.8024;-0.8901
L4;23;23;675;28;4.15;20;10;23;0.15;0.0072;7.5864;4.8854;-1.3476
L81;21;21;844;27;3.2;21;6;25;0.14;0.0047;7.5047;3.981;-1.8076
L136;22;22;1098;27;2.46;16;11;31;0.13;0.005;7.4067;5.5281;-0.9665
L381;22;22;2008;27;1.34;20;5;44;0.1;0.002;7.4067;4.0303;-1.7372
L167;23;23;1690;27;1.6;20;7;44;0.11;0.0028;7.3155;4.6798;-1.36
L220;23;23;1737;27;1.55;23;4;20;0.05;0.0034;7.3155;5.9763;-0.691
L408;23;23;1384;27;1.95;20;8;23;0.07;0.0032;7.3155;4.4783;-1.4641
L45;23;23;1491;27;1.81;19;8;21;0.06;0.0033;7.3155;4.8498;-1.2723
L156;22;22;759;26;3.43;21;5;29;0.17;0.0059;7.1324;4.5022;-1.4014
L178;22;22;1220;26;2.13;18;9;18;0.07;0.0041;7.1324;5.0476;-1.1107
L124;23;23;983;26;2.64;23;7;22;0.1;0.0046;7.0445;4.4783;-1.3713
L145;23;23;1284;26;2.02;16;10;79;0.27;0.0046;7.0445;5.8814;-0.6215
L160;23;23;1545;26;1.68;16;10;33;0.09;0.0029;7.0445;4.4348;-1.3945
L172;23;23;1993;26;1.3;17;9;10;0.02;0.0018;7.0445;3.5375;-1.8739
L176;23;23;1338;26;1.94;22;4;32;0.1;0.0027;7.0445;3.5692;-1.857
L387;23;23;1783;26;1.46;25;3;47;0.11;0.003;7.0445;5.4111;-0.8728
L79;23;23;815;26;3.19;21;5;41;0.22;0.0078;7.0445;6.3281;-0.3828
L142;22;22;1229;25;2.03;17;8;43;0.16;0.0027;6.858;3.2814;-1.9759
L385;22;22;1786;25;1.4;16;9;37;0.09;0.0025;6.858;4.5325;-1.2847
L99;22;22;911;25;2.74;16;9;14;0.07;0.0036;6.858;3.2987;-1.9663
L115;23;23;1437;25;1.74;17;8;32;0.1;0.0028;6.7736;4.0553;-1.5059
L12;23;23;1145;25;2.18;17;8;10;0.04;0.0031;6.7736;3.5415;-1.7906
L135;23;23;1796;25;1.39;21;4;49;0.12;0.0023;6.7736;4.1897;-1.4315
L154;23;23;2051;25;1.22;20;5;42;0.09;0.0023;6.7736;4.7905;-1.0986
L199;23;23;1470;25;1.7;12;13;83;0.25;0.0031;6.7736;4.4901;-1.2651
L230;23;23;1670;25;1.5;17;8;27;0.07;0.0019;6.7736;3.253;-1.9505
L254;23;23;1079;25;2.32;18;7;22;0.09;0.0046;6.7736;4.9328;-1.0198
L255;23;23;1027;25;2.43;20;6;77;0.33;0.0058;6.7736;5.9921;-0.4329
L266;23;23;1723;25;1.45;15;10;6;0.02;0.0021;6.7736;3.581;-1.7687
L305;23;23;1652;25;1.51;21;4;35;0.09;0.0023;6.7736;3.7945;-1.6505
L336;23;23;1393;25;1.79;18;8;5;0.02;0.0028;6.7736;3.8656;-1.611
L359;23;23;1771;25;1.41;17;8;52;0.13;0.0031;6.7736;5.4269;-0.7461
L55;23;23;1631;25;1.53;18;9;30;0.08;0.0036;6.7736;5.8814;-0.4943
L89;23;23;589;25;4.24;20;5;68;0.5;0.0102;6.7736;6.004;-0.4264
L419;21;21;1137;24;2.11;18;6;28;0.12;0.0038;6.6709;4.281;-1.367
L304;22;22;879;24;2.73;18;7;32;0.17;0.0034;6.5837;3.013;-2.0482
L173;23;23;1431;24;1.68;19;6;34;0.1;0.0032;6.5026;4.5336;-1.1326
L309;23;23;1818;24;1.32;21;3;48;0.11;0.0028;6.5026;5.0237;-0.8507
L325;23;23;2189;24;1.1;16;8;33;0.07;0.0013;6.5026;2.9368;-2.0511
L360;23;23;1246;24;1.93;22;3;48;0.17;0.0033;6.5026;4.0988;-1.3827
L395;23;23;1590;24;1.51;14;10;32;0.09;0.0029;6.5026;4.5336;-1.1326
L51;23;23;1650;24;1.45;15;9;20;0.05;0.0025;6.5026;4.1107;-1.3758
L316;21;21;857;23;2.68;18;5;66;0.37;0.0053;6.3929;4.5667;-1.0863
L421;21;21;516;23;4.46;17;7;33;0.3;0.0075;6.3929;3.8476;-1.5139
L184;22;22;1705;23;1.35;17;6;43;0.11;0.002;6.3094;3.3896;-1.7415
L197;22;22;1660;23;1.39;17;6;29;0.08;0.0023;6.3094;3.7489;-1.5272
L252;22;22;756;23;3.04;17;6;19;0.11;0.0086;6.3094;6.4805;0.1021
L382;22;22;1405;23;1.64;19;4;16;0.05;0.0025;6.3094;3.4978;-1.6769
L133;23;23;1655;23;1.39;18;5;26;0.07;0.002;6.2317;3.2727;-1.7697
L164;23;23;1269;23;1.81;19;5;36;0.12;0.0035;6.2317;4.3874;-1.103
L193;23;23;1769;23;1.3;14;9;23;0.06;0.0015;6.2317;2.7194;-2.1006
L200;23;23;1936;23;1.19;21;2;99;0.22;0.002;6.2317;3.8735;-1.4103
L206;23;23;1214;23;1.89;14;9;12;0.04;0.0022;6.2317;2.6482;-2.1431
L241;23;23;1158;23;1.99;18;5;42;0.16;0.0035;6.2317;4.0672;-1.2945
L257;23;23;1528;23;1.51;18;4;31;0.09;0.0021;6.2317;3.2174;-1.8027
L294;23;23;696;23;3.3;10;15;14;0.09;0.0067;6.2317;4.6443;-0.9494
L31;23;23;1511;23;1.52;16;8;12;0.03;0.0019;6.2317;2.8221;-2.0391
L334;23;23;1776;23;1.3;18;5;13;0.03;0.0016;6.2317;2.83;-2.0344
L37;23;23;1479;23;1.56;20;4;23;0.07;0.0019;6.2317;2.8103;-2.0462
L396;23;23;1812;23;1.27;20;3;53;0.13;0.0019;6.2317;3.4704;-1.6515
L80;23;23;1704;23;1.35;16;7;38;0.1;0.0023;6.2317;3.8379;-1.4316
L60;20;20;1378;22;1.6;12;11;34;0.12;0.0028;6.2011;3.8421;-1.4575
L144;21;21;627;22;3.51;13;10;13;0.1;0.0045;6.115;2.8095;-2.0478
L320;21;21;576;22;3.82;20;2;19;0.16;0.0062;6.115;3.5667;-1.5787
L105;23;23;1428;22;1.54;16;6;27;0.08;0.0025;5.9607;3.6087;-1.465
L233;23;23;1837;22;1.2;17;5;38;0.09;0.0017;5.9607;3.1344;-1.7604
L298;23;23;1758;22;1.25;13;9;22;0.05;0.0032;5.9607;5.5375;-0.2636
L30;23;23;1364;22;1.61;19;3;102;0.33;0.0021;5.9607;2.8577;-1.9327
L351;23;23;1718;22;1.28;15;7;50;0.13;0.0027;5.9607;4.6996;-0.7855
L353;23;23;1332;22;1.65;15;7;165;0.54;0.0031;5.9607;4.0711;-1.1769
L40;23;23;1649;22;1.33;13;9;13;0.03;0.002;5.9607;3.3636;-1.6176
L411;23;23;1622;22;1.36;15;7;23;0.06;0.0016;5.9607;2.668;-2.0509
L414;23;23;1496;22;1.47;18;4;58;0.17;0.0021;5.9607;3.2055;-1.7161
L112;20;20;512;21;4.1;16;6;58;0.57;0.0123;5.9193;6.3;0.2455
L409;21;21;594;21;3.54;19;2;18;0.14;0.0055;5.837;3.2476;-1.6738
L122;23;23;909;21;2.31;13;8;18;0.09;0.0038;5.6898;3.4625;-1.4473
L182;23;23;1373;21;1.53;18;3;15;0.05;0.0028;5.6898;3.8656;-1.1853
L25;23;23;955;21;2.2;17;4;33;0.15;0.0028;5.6898;2.6443;-1.9789
L260;23;23;2006;21;1.05;17;4;35;0.08;0.0022;5.6898;4.3874;-0.8463
L393;23;23;1718;21;1.22;15;6;32;0.08;0.0017;5.6898;2.8617;-1.8376
L403;23;23;1314;21;1.6;18;3;10;0.03;0.0016;5.6898;2.0435;-2.3693
L67;23;23;758;21;2.77;14;7;24;0.14;0.0049;5.6898;3.6917;-1.2983
L70;23;23;1523;21;1.38;15;6;29;0.08;0.0021;5.6898;3.1304;-1.663
L189;22;22;1666;20;1.2;16;4;19;0.05;0.0018;5.4864;3.039;-1.658
L208;22;22;1238;20;1.62;14;6;32;0.12;0.0029;5.4864;3.5411;-1.3179
L402;22;22;1672;20;1.2;11;8;35;0.1;0.0019;5.4864;3.2078;-1.5437
L114;23;23;1512;20;1.32;15;5;44;0.13;0.0027;5.4189;4.1107;-0.8884
L13;23;23;1573;20;1.27;16;4;22;0.06;0.0018;5.4189;2.9051;-1.7072
L151;23;23;1704;20;1.17;13;7;28;0.07;0.0014;5.4189;2.3636;-2.0749
L153;23;23;1229;20;1.63;15;5;20;0.07;0.0025;5.4189;3.0119;-1.6347
L198;23;23;1155;20;1.73;17;5;24;0.09;0.0037;5.4189;4.3083;-0.7542
L271;23;23;1481;20;1.35;14;6;9;0.03;0.0019;5.4189;2.834;-1.7555
L326;23;23;1244;20;1.61;15;5;23;0.08;0.0027;5.4189;3.3043;-1.4361
L361;23;23;1705;20;1.17;16;5;100;0.26;0.0026;5.4189;4.3478;-0.7274
L365;23;23;1738;20;1.15;16;4;104;0.26;0.0016;5.4189;2.8182;-1.7662
L405;23;23;1396;20;1.43;17;3;10;0.03;0.0024;5.4189;3.2925;-1.4441
L65;23;23;715;20;2.8;13;7;13;0.08;0.0037;5.4189;2.6798;-1.8602
L66;23;23;1401;20;1.43;19;1;36;0.11;0.0018;5.4189;2.4704;-2.0025
L95;23;23;1711;20;1.17;14;6;23;0.06;0.0016;5.4189;2.751;-1.8119
L97;23;23;979;20;2.04;11;9;25;0.11;0.0037;5.4189;3.664;-1.1918
L324;20;20;379;19;5.01;12;7;6;0.08;0.0095;5.3555;3.6053;-1.236
L18;21;21;564;19;3.37;15;4;26;0.22;0.0073;5.2811;4.1238;-0.8192
L186;22;22;1000;19;1.9;15;4;47;0.21;0.0032;5.2121;3.2251;-1.41
L214;22;22;916;19;2.07;15;4;25;0.12;0.0034;5.2121;3.1039;-1.496
L376;22;22;1082;19;1.76;19;0;29;0.12;0.0024;5.2121;2.632;-1.8308
L102;23;23;1433;19;1.33;16;3;11;0.03;0.0016;5.1479;2.2253;-2.0789
L210;23;23;1838;19;1.03;12;7;18;0.04;0.0013;5.1479;2.4545;-1.9158
